,,,,Өңір,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ҚАЗАҚСТАН,,Астана қаласы,,Алматы қаласы,,Абай облысы,,Ақмола облысы,,Ақтөбе облысы,,Алматы облысы,,Атырау облысы,,Батыс Қазақстан облысы,,Жамбыл облысы,,Жетісу облысы,,Қарағанды облысы,,Қостанай облысы,,Қызылорда облысы,,Маңғыстау облысы,,Түркістан облысы,,Ұлытау облысы,,Павлодар облысы,,Солтүстік Қазақстан облысы,,Шығыс Қазақстан облысы,,Шымкент қаласы,
"3. Достарыңызбен кездескенде, саяси мәселелерді жиі, кейде немесе ешқашан талқылайсыз ба?",Жиі,120,"10,0%",9,"10,3%",17,"12,0%",5,"13,2%",8,"15,7%",1,"1,8%",6,"6,7%",5,"12,8%",5,"11,6%",4,"5,8%",4,"9,8%",6,"8,1%",5,"8,8%",3,"6,5%",4,"9,5%",13,"11,7%",2,"15,4%",8,"16,0%",3,"8,1%",2,"4,0%",10,"15,2%"
,Кейде,642,"53,5%",49,"56,3%",83,"58,5%",13,"34,2%",25,"49,0%",15,"27,3%",49,"55,1%",21,"53,8%",17,"39,5%",45,"65,2%",27,"65,9%",43,"58,1%",31,"54,4%",27,"58,7%",23,"54,8%",46,"41,4%",5,"38,5%",23,"46,0%",26,"70,3%",27,"54,0%",47,"71,2%"
,Ешқашан,437,"36,4%",29,"33,3%",41,"28,9%",20,"52,6%",18,"35,3%",39,"70,9%",34,"38,2%",13,"33,3%",21,"48,8%",20,"29,0%",10,"24,4%",25,"33,8%",21,"36,8%",16,"34,8%",15,"35,7%",52,"46,8%",6,"46,2%",19,"38,0%",8,"21,6%",21,"42,0%",9,"13,6%"
,Жауап беру қиын,1,",1%",0,"0,0%",1,",7%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,,ҚАЗАҚСТАН,,Астана қаласы,,Алматы қаласы,,Абай облысы,,Ақмола облысы,,Ақтөбе облысы,,Алматы облысы,,Атырау облысы,,Батыс Қазақстан облысы,,Жамбыл облысы,,Жетісу облысы,,Қарағанды облысы,,Қостанай облысы,,Қызылорда облысы,,Маңғыстау облысы,,Түркістан облысы,,Ұлытау облысы,,Павлодар облысы,,Солтүстік Қазақстан облысы,,Шығыс Қазақстан облысы,,Шымкент қаласы,
4.1. Теледидар жаңалықтары,Күн сайын,382,"31,8%",17,"19,5%",45,"31,7%",9,"23,7%",9,"17,6%",11,"20,0%",22,"24,7%",11,"28,2%",10,"23,3%",28,"40,6%",20,"48,8%",25,"33,8%",21,"36,8%",12,"26,1%",16,"38,1%",41,"36,9%",6,"46,2%",19,"38,0%",16,"43,2%",16,"32,0%",28,"42,4%"
,Апта сайын,257,"21,4%",19,"21,8%",26,"18,3%",9,"23,7%",2,"3,9%",5,"9,1%",21,"23,6%",9,"23,1%",14,"32,6%",16,"23,2%",7,"17,1%",17,"23,0%",8,"14,0%",21,"45,7%",7,"16,7%",28,"25,2%",2,"15,4%",10,"20,0%",7,"18,9%",12,"24,0%",17,"25,8%"
,Ай сайын,100,"8,3%",4,"4,6%",10,"7,0%",5,"13,2%",1,"2,0%",9,"16,4%",11,"12,4%",4,"10,3%",4,"9,3%",8,"11,6%",2,"4,9%",6,"8,1%",6,"10,5%",3,"6,5%",3,"7,1%",12,"10,8%",0,"0,0%",1,"2,0%",4,"10,8%",5,"10,0%",2,"3,0%"
,Айына бір реттен сирек,145,"12,1%",9,"10,3%",14,"9,9%",1,"2,6%",1,"2,0%",10,"18,2%",19,"21,3%",2,"5,1%",8,"18,6%",3,"4,3%",7,"17,1%",9,"12,2%",13,"22,8%",6,"13,0%",4,"9,5%",8,"7,2%",3,"23,1%",4,"8,0%",4,"10,8%",12,"24,0%",8,"12,1%"
,Ешқашан,313,"26,1%",38,"43,7%",47,"33,1%",14,"36,8%",38,"74,5%",20,"36,4%",15,"16,9%",13,"33,3%",7,"16,3%",14,"20,3%",5,"12,2%",17,"23,0%",9,"15,8%",4,"8,7%",11,"26,2%",22,"19,8%",2,"15,4%",16,"32,0%",6,"16,2%",4,"8,0%",11,"16,7%"
