,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
,Затрудняюсь ответить,4,",3%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,8%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
"3. Когда Вы собираетесь с друзьями, Вы обсуждаете политические вопросы часто, иногда или никогда?",Часто,120,"10,0%",9,"10,3%",17,"12,0%",5,"13,2%",8,"15,7%",1,"1,8%",6,"6,7%",5,"12,8%",5,"11,6%",4,"5,8%",4,"9,8%",6,"8,1%",5,"8,8%",3,"6,5%",4,"9,5%",13,"11,7%",2,"15,4%",8,"16,0%",3,"8,1%",2,"4,0%",10,"15,2%"
,Иногда,642,"53,5%",49,"56,3%",83,"58,5%",13,"34,2%",25,"49,0%",15,"27,3%",49,"55,1%",21,"53,8%",17,"39,5%",45,"65,2%",27,"65,9%",43,"58,1%",31,"54,4%",27,"58,7%",23,"54,8%",46,"41,4%",5,"38,5%",23,"46,0%",26,"70,3%",27,"54,0%",47,"71,2%"
,Никогда,437,"36,4%",29,"33,3%",41,"28,9%",20,"52,6%",18,"35,3%",39,"70,9%",34,"38,2%",13,"33,3%",21,"48,8%",20,"29,0%",10,"24,4%",25,"33,8%",21,"36,8%",16,"34,8%",15,"35,7%",52,"46,8%",6,"46,2%",19,"38,0%",8,"21,6%",21,"42,0%",9,"13,6%"
,Затрудняюсь ответить,1,",1%",0,"0,0%",1,",7%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
4.1. Телевизионные новости,Каждый день,382,"31,8%",17,"19,5%",45,"31,7%",9,"23,7%",9,"17,6%",11,"20,0%",22,"24,7%",11,"28,2%",10,"23,3%",28,"40,6%",20,"48,8%",25,"33,8%",21,"36,8%",12,"26,1%",16,"38,1%",41,"36,9%",6,"46,2%",19,"38,0%",16,"43,2%",16,"32,0%",28,"42,4%"
,Каждую неделю,257,"21,4%",19,"21,8%",26,"18,3%",9,"23,7%",2,"3,9%",5,"9,1%",21,"23,6%",9,"23,1%",14,"32,6%",16,"23,2%",7,"17,1%",17,"23,0%",8,"14,0%",21,"45,7%",7,"16,7%",28,"25,2%",2,"15,4%",10,"20,0%",7,"18,9%",12,"24,0%",17,"25,8%"
,Каждый месяц,100,"8,3%",4,"4,6%",10,"7,0%",5,"13,2%",1,"2,0%",9,"16,4%",11,"12,4%",4,"10,3%",4,"9,3%",8,"11,6%",2,"4,9%",6,"8,1%",6,"10,5%",3,"6,5%",3,"7,1%",12,"10,8%",0,"0,0%",1,"2,0%",4,"10,8%",5,"10,0%",2,"3,0%"
,"Реже, чем раз в месяц",145,"12,1%",9,"10,3%",14,"9,9%",1,"2,6%",1,"2,0%",10,"18,2%",19,"21,3%",2,"5,1%",8,"18,6%",3,"4,3%",7,"17,1%",9,"12,2%",13,"22,8%",6,"13,0%",4,"9,5%",8,"7,2%",3,"23,1%",4,"8,0%",4,"10,8%",12,"24,0%",8,"12,1%"
,Никогда,313,"26,1%",38,"43,7%",47,"33,1%",14,"36,8%",38,"74,5%",20,"36,4%",15,"16,9%",13,"33,3%",7,"16,3%",14,"20,3%",5,"12,2%",17,"23,0%",9,"15,8%",4,"8,7%",11,"26,2%",22,"19,8%",2,"15,4%",16,"32,0%",6,"16,2%",4,"8,0%",11,"16,7%"
,Отказ от ответа,3,",3%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,0%",0,"0,0%"
,Затрудняюсь ответить,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
4.2. Новости по радио,Каждый день,136,"11,3%",2,"2,3%",20,"14,1%",4,"10,5%",4,"7,8%",10,"18,2%",4,"4,5%",4,"10,3%",7,"16,3%",7,"10,1%",4,"9,8%",7,"9,5%",7,"12,3%",3,"6,5%",13,"31,0%",9,"8,1%",2,"15,4%",9,"18,0%",6,"16,2%",2,"4,0%",12,"18,2%"
,Каждую неделю,100,"8,3%",2,"2,3%",12,"8,5%",7,"18,4%",4,"7,8%",4,"7,3%",6,"6,7%",2,"5,1%",5,"11,6%",3,"4,3%",5,"12,2%",12,"16,2%",7,"12,3%",2,"4,3%",5,"11,9%",4,"3,6%",2,"15,4%",0,"0,0%",3,"8,1%",8,"16,0%",7,"10,6%"
,Каждый месяц,108,"9,0%",3,"3,4%",12,"8,5%",1,"2,6%",1,"2,0%",1,"1,8%",13,"14,6%",1,"2,6%",4,"9,3%",5,"7,2%",1,"2,4%",8,"10,8%",4,"7,0%",7,"15,2%",1,"2,4%",19,"17,1%",0,"0,0%",3,"6,0%",4,"10,8%",6,"12,0%",14,"21,2%"
,"Реже, чем раз в месяц",126,"10,5%",3,"3,4%",15,"10,6%",3,"7,9%",3,"5,9%",3,"5,5%",15,"16,9%",2,"5,1%",3,"7,0%",4,"5,8%",4,"9,8%",19,"25,7%",10,"17,5%",7,"15,2%",2,"4,8%",13,"11,7%",1,"7,7%",3,"6,0%",3,"8,1%",7,"14,0%",6,"9,1%"
,Никогда,720,"60,0%",77,"88,5%",82,"57,7%",23,"60,5%",39,"76,5%",37,"67,3%",49,"55,1%",30,"76,9%",24,"55,8%",50,"72,5%",25,"61,0%",28,"37,8%",29,"50,9%",26,"56,5%",20,"47,6%",66,"59,5%",5,"38,5%",35,"70,0%",21,"56,8%",27,"54,0%",27,"40,9%"
,Отказ от ответа,8,",7%",0,"0,0%",1,",7%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",0,"0,0%",0,"0,0%",1,"2,2%",1,"2,4%",0,"0,0%",2,"15,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Затрудняюсь ответить,2,",2%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"7,7%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
4.3. Новости через Интернет,Каждый день,692,"57,7%",31,"35,6%",98,"69,0%",23,"60,5%",9,"17,6%",24,"43,6%",50,"56,2%",27,"69,2%",26,"60,5%",41,"59,4%",27,"65,9%",48,"64,9%",28,"49,1%",22,"47,8%",27,"64,3%",78,"70,3%",12,"92,3%",15,"30,0%",15,"40,5%",34,"68,0%",57,"86,4%"
,Каждую неделю,206,"17,2%",11,"12,6%",33,"23,2%",6,"15,8%",1,"2,0%",8,"14,5%",13,"14,6%",6,"15,4%",7,"16,3%",13,"18,8%",7,"17,1%",12,"16,2%",17,"29,8%",14,"30,4%",7,"16,7%",13,"11,7%",1,"7,7%",13,"26,0%",10,"27,0%",9,"18,0%",5,"7,6%"
,Каждый месяц,62,"5,2%",7,"8,0%",1,",7%",2,"5,3%",1,"2,0%",5,"9,1%",13,"14,6%",1,"2,6%",5,"11,6%",5,"7,2%",3,"7,3%",3,"4,1%",3,"5,3%",4,"8,7%",0,"0,0%",4,"3,6%",0,"0,0%",1,"2,0%",0,"0,0%",4,"8,0%",0,"0,0%"
,"Реже, чем раз в месяц",56,"4,7%",5,"5,7%",4,"2,8%",0,"0,0%",4,"7,8%",3,"5,5%",6,"6,7%",1,"2,6%",1,"2,3%",4,"5,8%",0,"0,0%",5,"6,8%",5,"8,8%",0,"0,0%",1,"2,4%",3,"2,7%",0,"0,0%",4,"8,0%",6,"16,2%",2,"4,0%",2,"3,0%"
,Никогда,174,"14,5%",31,"35,6%",5,"3,5%",7,"18,4%",36,"70,6%",14,"25,5%",6,"6,7%",4,"10,3%",4,"9,3%",6,"8,7%",2,"4,9%",6,"8,1%",4,"7,0%",5,"10,9%",6,"14,3%",13,"11,7%",0,"0,0%",17,"34,0%",5,"13,5%",1,"2,0%",2,"3,0%"
,Отказ от ответа,10,",8%",2,"2,3%",1,",7%",0,"0,0%",0,"0,0%",1,"1,8%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",0,"0,0%",0,"0,0%",1,"2,2%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,7%",0,"0,0%",0,"0,0%"
,Затрудняюсь ответить,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
"4.4. Новости через социальные сети - Фейсбук, Твиттер, Телеграм, Инстаграм, YouTube и т.п.",Каждый день,747,"62,3%",43,"49,4%",98,"69,0%",24,"63,2%",48,"94,1%",28,"50,9%",46,"51,7%",30,"76,9%",26,"60,5%",43,"62,3%",22,"53,7%",42,"56,8%",32,"56,1%",27,"58,7%",21,"50,0%",75,"67,6%",13,"100,0%",21,"42,0%",19,"51,4%",36,"72,0%",53,"80,3%"
,Каждую неделю,171,"14,3%",13,"14,9%",26,"18,3%",5,"13,2%",1,"2,0%",10,"18,2%",16,"18,0%",5,"12,8%",9,"20,9%",11,"15,9%",3,"7,3%",12,"16,2%",11,"19,3%",7,"15,2%",2,"4,8%",15,"13,5%",0,"0,0%",11,"22,0%",5,"13,5%",4,"8,0%",5,"7,6%"
,Каждый месяц,52,"4,3%",5,"5,7%",1,",7%",2,"5,3%",0,"0,0%",2,"3,6%",13,"14,6%",1,"2,6%",1,"2,3%",4,"5,8%",2,"4,9%",3,"4,1%",1,"1,8%",3,"6,5%",2,"4,8%",2,"1,8%",0,"0,0%",3,"6,0%",1,"2,7%",2,"4,0%",4,"6,1%"
,"Реже, чем раз в месяц",58,"4,8%",7,"8,0%",3,"2,1%",3,"7,9%",0,"0,0%",2,"3,6%",6,"6,7%",2,"5,1%",1,"2,3%",3,"4,3%",2,"4,9%",9,"12,2%",7,"12,3%",1,"2,2%",0,"0,0%",3,"2,7%",0,"0,0%",3,"6,0%",4,"10,8%",1,"2,0%",1,"1,5%"
,Никогда,166,"13,8%",19,"21,8%",13,"9,2%",4,"10,5%",2,"3,9%",13,"23,6%",7,"7,9%",1,"2,6%",6,"14,0%",8,"11,6%",10,"24,4%",8,"10,8%",6,"10,5%",7,"15,2%",16,"38,1%",16,"14,4%",0,"0,0%",12,"24,0%",8,"21,6%",7,"14,0%",3,"4,5%"
,Отказ от ответа,6,",5%",0,"0,0%",1,",7%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",0,"0,0%",0,"0,0%",1,"2,2%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Затрудняюсь ответить,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
4.5. Новости из разговоров с друзьями или коллегами,Каждый день,241,"20,1%",21,"24,1%",26,"18,3%",13,"34,2%",12,"23,5%",7,"12,7%",17,"19,1%",8,"20,5%",8,"18,6%",15,"21,7%",6,"14,6%",12,"16,2%",16,"28,1%",4,"8,7%",4,"9,5%",25,"22,5%",3,"23,1%",13,"26,0%",13,"35,1%",6,"12,0%",12,"18,2%"
,Каждую неделю,263,"21,9%",15,"17,2%",32,"22,5%",10,"26,3%",3,"5,9%",9,"16,4%",17,"19,1%",7,"17,9%",12,"27,9%",18,"26,1%",7,"17,1%",13,"17,6%",14,"24,6%",14,"30,4%",7,"16,7%",33,"29,7%",2,"15,4%",19,"38,0%",6,"16,2%",12,"24,0%",13,"19,7%"
,Каждый месяц,222,"18,5%",14,"16,1%",24,"16,9%",3,"7,9%",1,"2,0%",6,"10,9%",18,"20,2%",13,"33,3%",5,"11,6%",19,"27,5%",8,"19,5%",17,"23,0%",7,"12,3%",13,"28,3%",5,"11,9%",19,"17,1%",1,"7,7%",5,"10,0%",7,"18,9%",16,"32,0%",21,"31,8%"
,"Реже, чем раз в месяц",177,"14,8%",19,"21,8%",27,"19,0%",5,"13,2%",3,"5,9%",7,"12,7%",22,"24,7%",5,"12,8%",5,"11,6%",4,"5,8%",8,"19,5%",20,"27,0%",14,"24,6%",5,"10,9%",2,"4,8%",6,"5,4%",1,"7,7%",5,"10,0%",5,"13,5%",3,"6,0%",11,"16,7%"
,Никогда,278,"23,2%",18,"20,7%",31,"21,8%",7,"18,4%",32,"62,7%",25,"45,5%",14,"15,7%",6,"15,4%",12,"27,9%",13,"18,8%",9,"22,0%",11,"14,9%",6,"10,5%",10,"21,7%",23,"54,8%",25,"22,5%",3,"23,1%",8,"16,0%",6,"16,2%",11,"22,0%",8,"12,1%"
,Отказ от ответа,15,"1,3%",0,"0,0%",2,"1,4%",0,"0,0%",0,"0,0%",1,"1,8%",1,"1,1%",0,"0,0%",1,"2,3%",0,"0,0%",3,"7,3%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",3,"2,7%",1,"7,7%",0,"0,0%",0,"0,0%",2,"4,0%",0,"0,0%"
,Затрудняюсь ответить,4,",3%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"15,4%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,5%"
,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
"5. Знаете ли Вы, слышали или слышите сейчас впервые выражение «гражданское общество»?",Знаю,235,"19,6%",16,"18,4%",30,"21,1%",8,"21,1%",6,"11,8%",2,"3,6%",18,"20,2%",7,"17,9%",13,"30,2%",20,"29,0%",7,"17,1%",18,"24,3%",11,"19,3%",3,"6,5%",0,"0,0%",22,"19,8%",5,"38,5%",10,"20,0%",13,"35,1%",9,"18,0%",17,"25,8%"
,Что-то слышал(-а),487,"40,6%",37,"42,5%",72,"50,7%",16,"42,1%",13,"25,5%",10,"18,2%",26,"29,2%",10,"25,6%",13,"30,2%",28,"40,6%",18,"43,9%",29,"39,2%",32,"56,1%",12,"26,1%",20,"47,6%",52,"46,8%",2,"15,4%",23,"46,0%",13,"35,1%",27,"54,0%",34,"51,5%"
,Слышу впервые,464,"38,7%",30,"34,5%",39,"27,5%",14,"36,8%",31,"60,8%",43,"78,2%",44,"49,4%",22,"56,4%",17,"39,5%",21,"30,4%",13,"31,7%",25,"33,8%",14,"24,6%",31,"67,4%",21,"50,0%",37,"33,3%",6,"46,2%",16,"32,0%",11,"29,7%",14,"28,0%",15,"22,7%"
,Затрудняюсь ответить,14,"1,2%",4,"4,6%",1,",7%",0,"0,0%",1,"2,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",3,"7,3%",2,"2,7%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",1,"2,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
"6. По Вашему мнению, в Казахстане сейчас есть гражданское общество или гражданского общества нет?",Безусловно есть,195,"27,0%",2,"3,8%",29,"28,4%",1,"4,2%",9,"47,4%",2,"16,7%",10,"22,7%",3,"17,6%",13,"50,0%",15,"31,3%",3,"12,0%",9,"19,1%",4,"9,3%",3,"20,0%",7,"35,0%",40,"54,1%",3,"42,9%",11,"33,3%",6,"23,1%",8,"22,2%",17,"33,3%"
,Скорее есть,379,"52,5%",36,"67,9%",55,"53,9%",15,"62,5%",6,"31,6%",6,"50,0%",24,"54,5%",9,"52,9%",10,"38,5%",24,"50,0%",14,"56,0%",21,"44,7%",30,"69,8%",10,"66,7%",11,"55,0%",29,"39,2%",3,"42,9%",9,"27,3%",13,"50,0%",22,"61,1%",32,"62,7%"
,Скорее нет,98,"13,6%",11,"20,8%",13,"12,7%",5,"20,8%",3,"15,8%",4,"33,3%",5,"11,4%",4,"23,5%",3,"11,5%",4,"8,3%",6,"24,0%",14,"29,8%",6,"14,0%",2,"13,3%",2,"10,0%",1,"1,4%",0,"0,0%",7,"21,2%",5,"19,2%",1,"2,8%",2,"3,9%"
,Безусловно нет,16,"2,2%",0,"0,0%",2,"2,0%",1,"4,2%",0,"0,0%",0,"0,0%",2,"4,5%",1,"5,9%",0,"0,0%",1,"2,1%",0,"0,0%",1,"2,1%",0,"0,0%",0,"0,0%",0,"0,0%",3,"4,1%",0,"0,0%",3,"9,1%",0,"0,0%",2,"5,6%",0,"0,0%"
,Затрудняюсь ответить,34,"4,7%",4,"7,5%",3,"2,9%",2,"8,3%",1,"5,3%",0,"0,0%",3,"6,8%",0,"0,0%",0,"0,0%",4,"8,3%",2,"8,0%",2,"4,3%",3,"7,0%",0,"0,0%",0,"0,0%",1,"1,4%",1,"14,3%",3,"9,1%",2,"7,7%",3,"8,3%",0,"0,0%"
,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
"Q7. Как Вы понимаете выражение «гражданское общество», что оно означает?","Население страны, граждане, общество, все мы",148,"20,5%",12,"22,6%",26,"25,5%",3,"12,5%",3,"15,8%",3,"25,0%",8,"18,2%",5,"29,4%",2,"7,7%",7,"14,6%",5,"20,0%",9,"19,1%",6,"14,0%",3,"20,0%",4,"20,0%",23,"31,1%",4,"57,1%",6,"18,2%",2,"7,7%",8,"22,2%",9,"17,6%"
,"Общество людей с высокой гражданской активностью, ответственностью",156,"21,6%",15,"28,3%",18,"17,6%",5,"20,8%",4,"21,1%",4,"33,3%",14,"31,8%",5,"29,4%",4,"15,4%",12,"25,0%",3,"12,0%",11,"23,4%",10,"23,3%",2,"13,3%",5,"25,0%",10,"13,5%",0,"0,0%",5,"15,2%",10,"38,5%",8,"22,2%",11,"21,6%"
,"Группы граждан, объединенных общими идеями, целями, интересами",113,"15,7%",13,"24,5%",13,"12,7%",5,"20,8%",3,"15,8%",1,"8,3%",5,"11,4%",8,"47,1%",4,"15,4%",10,"20,8%",2,"8,0%",11,"23,4%",11,"25,6%",3,"20,0%",3,"15,0%",1,"1,4%",0,"0,0%",7,"21,2%",4,"15,4%",5,"13,9%",4,"7,8%"
,"Правовое, свободное, демократическое общество",105,"14,5%",9,"17,0%",17,"16,7%",4,"16,7%",0,"0,0%",2,"16,7%",5,"11,4%",3,"17,6%",3,"11,5%",12,"25,0%",2,"8,0%",5,"10,6%",11,"25,6%",2,"13,3%",3,"15,0%",10,"13,5%",0,"0,0%",3,"9,1%",2,"7,7%",4,"11,1%",8,"15,7%"
,"Общество граждан, способных влиять на власть, решать социальные вопросы",102,"14,1%",3,"5,7%",10,"9,8%",3,"12,5%",3,"15,8%",2,"16,7%",9,"20,5%",1,"5,9%",2,"7,7%",9,"18,8%",4,"16,0%",7,"14,9%",6,"14,0%",4,"26,7%",2,"10,0%",5,"6,8%",2,"28,6%",8,"24,2%",5,"19,2%",6,"16,7%",11,"21,6%"
,"Общество граждан, проявляющих единство и сплоченность",100,"13,9%",15,"28,3%",8,"7,8%",2,"8,3%",1,"5,3%",1,"8,3%",4,"9,1%",1,"5,9%",2,"7,7%",10,"20,8%",0,"0,0%",9,"19,1%",11,"25,6%",1,"6,7%",2,"10,0%",9,"12,2%",0,"0,0%",8,"24,2%",1,"3,8%",6,"16,7%",9,"17,6%"
,"Развитое, цивилизованное, культурное общество",90,"12,5%",6,"11,3%",18,"17,6%",4,"16,7%",2,"10,5%",1,"8,3%",0,"0,0%",2,"11,8%",4,"15,4%",5,"10,4%",3,"12,0%",0,"0,0%",10,"23,3%",3,"20,0%",0,"0,0%",6,"8,1%",2,"28,6%",2,"6,1%",4,"15,4%",2,"5,6%",16,"31,4%"
,"Общество людей, наделенных патриотизмом",95,"13,2%",7,"13,2%",14,"13,7%",3,"12,5%",4,"21,1%",2,"16,7%",4,"9,1%",0,"0,0%",4,"15,4%",6,"12,5%",3,"12,0%",7,"14,9%",8,"18,6%",2,"13,3%",1,"5,0%",5,"6,8%",2,"28,6%",2,"6,1%",8,"30,8%",5,"13,9%",8,"15,7%"
,Конкретные категории граждан,48,"6,6%",6,"11,3%",11,"10,8%",1,"4,2%",1,"5,3%",0,"0,0%",3,"6,8%",0,"0,0%",0,"0,0%",1,"2,1%",1,"4,0%",3,"6,4%",1,"2,3%",0,"0,0%",0,"0,0%",5,"6,8%",0,"0,0%",1,"3,0%",3,"11,5%",2,"5,6%",9,"17,6%"
